scenario,description,tax_rate_tau,legal_coverage_lambda,compliance_chi,kappa_gross,T,C_adm,R,y_T,I_q,B_0,X_1,phi,delta_D0_dir,q_1,service_1,O_1,demand_gate,opportunity_gate
A,Automation without a public response,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-12.0,0.07,0.0,1.0,False,False
B,Net receipts transferred to exposed households,1.0,1.0,1.0,1.0,20.0,1.0,19.0,19.0,0.0,0.0,0.0,0.25,0.10000000000000142,0.07,0.0,1.0,True,False
C,"Transfer, investment, and future operation; high capacity",1.0,1.0,1.0,1.0,20.0,1.0,19.0,12.0,3.0,4.0,4.0,0.25,-3.1999999999999993,0.8200000000000001,4.0,5.0,False,True
D,Same fiscal uses as C; low conversion capacity,1.0,1.0,1.0,1.0,20.0,1.0,19.0,12.0,3.0,4.0,4.0,0.08,-3.1999999999999993,0.31,1.55,2.55,False,False
